Country,City,lat,lng,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM AQI Value,PM AQI Category
United States of America,Williamsport,41.2399,-77.037,75,Moderate,2,Good,13,Good,16,Good,75,Moderate
United States of America,Fox Lake,42.4239,-88.1844,60,Moderate,2,Good,18,Good,21,Good,60,Moderate
Denmark,Frederikssund,55.8333,12.0666,36,Good,1,Good,36,Good,0,Good,25,Good
United States of America,Friendly,38.7601,-76.9642,41,Good,1,Good,30,Good,8,Good,41,Good
Germany,Fuldatal,51.3484,9.5256,44,Good,1,Good,28,Good,2,Good,44,Good
Japan,Furano,43.342,142.3832,29,Good,1,Good,26,Good,1,Good,29,Good
China,Fuzhou,27.9814,116.3577,168,Unhealthy,3,Good,168,Unhealthy,5,Good,99,Moderate
China,Fuzhou,26.0769,119.2917,168,Unhealthy,3,Good,168,Unhealthy,5,Good,99,Moderate
United Kingdom of Great Britain and Northern Ireland,Galashiels,55.6194,-2.8033,25,Good,1,Good,25,Good,3,Good,23,Good
Germany,Gangelt,50.9831,6,41,Good,1,Good,26,Good,4,Good,41,Good
Germany,Garbsen,52.4183,9.5981,36,Good,0,Good,33,Good,1,Good,36,Good
Cameroon,Garoua,9.3,13.4,59,Moderate,2,Good,12,Good,0,Good,59,Moderate
Netherlands,Geertruidenberg,51.7,4.8586,35,Good,0,Good,33,Good,2,Good,35,Good
Australia,Geraldton,-28.7744,114.6089,29,Good,0,Good,29,Good,0,Good,13,Good
Germany,Germersheim,49.2167,8.3667,51,Moderate,1,Good,29,Good,3,Good,51,Moderate
Colombia,Girardot,4.305,-74.8017,103,Unhealthy for Sensitive Groups,4,Good,9,Good,6,Good,103,Unhealthy for Sensitive Groups
United Kingdom of Great Britain and Northern Ireland,Golborne,53.4758,-2.5943,35,Good,1,Good,30,Good,4,Good,35,Good
Portugal,Gondomar,41.15,-8.5333,27,Good,0,Good,27,Good,2,Good,21,Good
Portugal,Gondomar,42.1111,-8.7611,27,Good,0,Good,27,Good,2,Good,21,Good
India,Govindgarh,24.3785,81.2964,307,Hazardous,1,Good,45,Good,0,Good,307,Hazardous
United States of America,Hoffman Estates,42.064,-88.1468,61,Moderate,2,Good,26,Good,16,Good,61,Moderate
United States of America,Holly Springs,35.6526,-78.8399,42,Good,1,Good,42,Good,2,Good,37,Good
United States of America,Holly Springs,34.1681,-84.4847,42,Good,1,Good,42,Good,2,Good,37,Good
Germany,Holzminden,51.8297,9.4483,42,Good,0,Good,32,Good,1,Good,42,Good
Ethiopia,Huruta,8.15,39.35,102,Unhealthy for Sensitive Groups,1,Good,23,Good,0,Good,102,Unhealthy for Sensitive Groups
Italy,Iglesias,39.3167,8.5333,64,Moderate,1,Good,53,Moderate,1,Good,64,Moderate
Japan,Iizuka,33.65,130.6833,45,Good,1,Good,45,Good,0,Good,38,Good
Japan,Suzu,37.4363,137.2605,69,Moderate,1,Good,69,Moderate,1,Good,60,Moderate
Hungary,Szeged,46.255,20.145,50,Good,1,Good,41,Good,1,Good,50,Good
Iran (Islamic Republic of),Tafresh,34.6919,50.0131,125,Unhealthy for Sensitive Groups,2,Good,125,Unhealthy for Sensitive Groups,1,Good,82,Moderate
Philippines,Tagaytay,14.1,120.9333,41,Good,1,Good,25,Good,1,Good,41,Good
